canonical_name,level,abbreviation,hierarchy_path_abbrev,hierarchy_path
Rapid Capabilities and Critical Technologies Office,2,RCCTO,USA,Department of the Army>Rapid Capabilities and Critical Technologies Office
Air Force Medical Readiness Agency,3,AFMRA,DoD>USAF,Department of Defense>Department of the Air Force>Air Force Medical Readiness Agency
U.S. District and Territorial Courts,1,,,U.S. District and Territorial Courts
United States House of Representatives,1,,,United States House of Representatives
Special Rail Reorganization Court,1,,,Special Rail Reorganization Court
Occupational Safety and Health Review Commission,1,OSHRC,,Occupational Safety and Health Review Commission
Abraham Lincoln Bicentennial Commission,1,,,Abraham Lincoln Bicentennial Commission
Tennessee Valley Authority,1,,,Tennessee Valley Authority
Selective Service System,1,,,Selective Service System
U.S. Commission of Fine Arts,1,CFA,,U.S. Commission of Fine Arts
Federal Maritime Commission,1,FMC,,Federal Maritime Commission
Appalachian Regional Commission,1,ARC,,Appalachian Regional Commission
Temporary Emergency Court of Appeals,1,,,Temporary Emergency Court of Appeals
Bankruptcy Courts,1,,,Bankruptcy Courts
RHS Rhode Island Office,,,,Department of Agriculture>Rural Housing Service>State Offices>Bureau for Humanitarian Assistance
International Boundary Commission U.S. and Canada,1,,,International Boundary Commission U.S. and Canada
Washington Metropolitan Area Transit Authority,1,,,Washington Metropolitan Area Transit Authority
National Transportation Safety Board,1,NTSB,,National Transportation Safety Board
Gulf Coast Ecosystem Restoration Council,1,GCERC,,Gulf Coast Ecosystem Restoration Council
Morris K. Udall Foundation,1,,,Morris K. Udall Foundation
U.S. Court of Appeals for the Federal Circuit,1,,,U.S. Court of Appeals for the Federal Circuit
Office of Investigative Technology,3,OIT,DOJ>DEA,Department of Justice>Drug Enforcement Administration>Office of Investigative Technology
Special Operations Division,3,SOD,DOJ>DEA,Department of Justice>Drug Enforcement Administration>Special Operations Division
Privacy and Civil Liberties Oversight Board,1,PCLOB,,Privacy and Civil Liberties Oversight Board
CNCS Office of Procurement Services,2,,CNCS,AmeriCorps>CNCS Office of Procurement Services
CSOSA Pretrial Services Agency,2,,CSOSA,Court Services and Offender Supervision Agency>CSOSA Pretrial Services Agency
Forest Service,2,USFS,USDA,Department of Agriculture>Forest Service
Foreign Agricultural Service,2,FAS,USDA,Department of Agriculture>Foreign Agricultural Service
Food and Nutrition Service,2,FNS,USDA,Department of Agriculture>Food and Nutrition Service
Agricultural Marketing Service,2,AMS,USDA,Department of Agriculture>Agricultural Marketing Service
Natural Resources Conservation Service,2,NRCS,USDA,Department of Agriculture>Natural Resources Conservation Service
Farm Production and Conservation Business Center,2,FPACBC,USDA,Department of Agriculture>Farm Production and Conservation Business Center
Economic Research Service,2,ERS,USDA,Department of Agriculture>Economic Research Service
Rural Housing Service,2,RHS,USDA,Department of Agriculture>Rural Housing Service
Office of Advocacy and Outreach,3,OAO,USDA>DM,Department of Agriculture>Departmental Management>Office of Advocacy and Outreach
Farm Service Agency,2,FSA,USDA,Department of Agriculture>Farm Service Agency
USDA Office of the Inspector General,2,OIG,USDA,Department of Agriculture>USDA Office of the Inspector General
Farmers Home Administration,2,FmHA,USDA,Department of Agriculture>Farmers Home Administration
USDA Immediate Office of the Secretary,2,,USDA,Department of Agriculture>USDA Immediate Office of the Secretary
USDA Office of the General Counsel,2,OGC,USDA,Department of Agriculture>USDA Office of the General Counsel
USDA Office of Homeland Security and Emergency Coordination,3,,USDA>DM,Department of Agriculture>Departmental Management>USDA Office of Homeland Security and Emergency Coordination
Departmental Administration,2,DA,USDA,Department of Agriculture>Departmental Administration
USDA Office of Procurement and Property Management,3,OPPM,USDA>DM,Department of Agriculture>Departmental Management>USDA Office of Procurement and Property Management
USDA Office of the Executive Secretariat,2,OES,USDA,Department of Agriculture>USDA Office of the Executive Secretariat
USDA Office of Communications,2,OC,USDA,Department of Agriculture>USDA Office of Communications
USDA Office of Management Services,3,OMS,USDA>DM,Department of Agriculture>Departmental Management>USDA Office of Management Services
USDA Office of the Chief Economist,2,OCE,USDA,Department of Agriculture>USDA Office of the Chief Economist
USDA Office of Ethics,2,,USDA,Department of Agriculture>USDA Office of Ethics
Risk Management Agency,2,RMA,USDA,Department of Agriculture>Risk Management Agency
USDA Office of the Chief Financial Officer,2,OCFO,USDA,Department of Agriculture>USDA Office of the Chief Financial Officer
National Institute of Food and Agriculture,2,NIFA,USDA,Department of Agriculture>National Institute of Food and Agriculture
USDA Office of the Judicial Officer,3,OJO,USDA>DM,Department of Agriculture>Departmental Management>USDA Office of the Judicial Officer
USDA Office of Operations,3,OO,USDA>DA,Department of Agriculture>Departmental Administration>USDA Office of Operations
USDA Office of Congressional Relations,2,OCR,USDA,Department of Agriculture>USDA Office of Congressional Relations
USDA Office of Human Resource Management,3,OHRM,USDA>DA,Department of Agriculture>Departmental Administration>USDA Office of Human Resource Management
USDA Office of the Chief Information Officer,2,OCIO,USDA,Department of Agriculture>USDA Office of the Chief Information Officer
Agricultural Research Service,2,ARS,USDA,Department of Agriculture>Agricultural Research Service
USDA Office of Budget and Program Analysis,2,OBPA,USDA,Department of Agriculture>USDA Office of Budget and Program Analysis
National Agricultural Statistics Service,2,NASS,USDA,Department of Agriculture>National Agricultural Statistics Service
Animal and Plant Health Inspection Service,2,APHIS,USDA,Department of Agriculture>Animal and Plant Health Inspection Service
USDA Office of Security Services,2,OSS,USDA,Department of Agriculture>USDA Office of Security Services
Grain Inspection Packers and Stockyards,2,GIPSA,USDA,Department of Agriculture>Grain Inspection Packers and Stockyards
Departmental Management,2,DM,USDA,Department of Agriculture>Departmental Management
Rural Utilities Service,2,,USDA,Department of Agriculture>Rural Utilities Service
USDA Office of the Assistant Secretary for Civil Rights,2,OASCR,USDA,Department of Agriculture>USDA Office of the Assistant Secretary for Civil Rights
Under Secretary for Rural Development,5,,USDA>RHS>HQ>RD,Department of Agriculture>Rural Housing Service>RHS Headquarters Offices>Rural Development>Under Secretary for Rural Development
National Appeals Division,2,,USDA,Department of Agriculture>National Appeals Division
USDA Office of Administrative Law Judges,2,OALJ,USDA,Department of Agriculture>USDA Office of Administrative Law Judges
Food Safety and Inspection Service,2,FSIS,USDA,Department of Agriculture>Food Safety and Inspection Service
National Oceanic and Atmospheric Administration,2,NOAA,DOC,Department of Commerce>National Oceanic and Atmospheric Administration
Patent and Trademark Office,2,USPTO,DOC,Department of Commerce>Patent and Trademark Office
National Technical Information Service,2,NTIS,DOC,Department of Commerce>National Technical Information Service
U.S. Census Bureau,2,USCB,DOC,Department of Commerce>U.S. Census Bureau
National Institute of Standards and Technology,2,NIST,DOC,Department of Commerce>National Institute of Standards and Technology
International Trade Administration,2,ITA,DOC,Department of Commerce>International Trade Administration
DOC Office of Inspector General,2,OIG,DOC,Department of Commerce>DOC Office of Inspector General
U.S. Export Administration,2,,DOC,Department of Commerce>U.S. Export Administration
National Telecommunications and Information Administration,2,NTIA,DOC,Department of Commerce>National Telecommunications and Information Administration
Bureau of Economic Analysis,2,BEA,DOC,Department of Commerce>Bureau of Economic Analysis
Economic Development Administration,2,EDA,DOC,Department of Commerce>Economic Development Administration
Minority Business Development Agency,2,MBDA,DOC,Department of Commerce>Minority Business Development Agency
DOC Office of the Secretary,2,,DOC,Department of Commerce>DOC Office of the Secretary
DOC Office of the Undersecretary of Economic Affairs,2,OUSEA,DOC,Department of Commerce>DOC Office of the Undersecretary of Economic Affairs
Bureau of Industry and Security,2,BIS,DOC,Department of Commerce>Bureau of Industry and Security
Department of the Navy,2,USN,DoD,Department of Defense>Department of the Navy
Department of the Army,2,USA,DoD,Department of Defense>Department of the Army
Department of the Air Force,2,USAF,DoD,Department of Defense>Department of the Air Force
U.S. Special Operations Command,2,USSOCOM,DoD,Department of Defense>U.S. Special Operations Command
Defense Logistics Agency,2,DLA,DoD,Department of Defense>Defense Logistics Agency
Defense Intelligence Agency,2,DIA,DoD,Department of Defense>Defense Intelligence Agency
Defense Health Agency,2,DHA,DoD,Department of Defense>Defense Health Agency
Defense Advanced Research Projects Agency,2,DARPA,DoD,Department of Defense>Defense Advanced Research Projects Agency
Washington Headquarters Services,2,WHS,DoD,Department of Defense>Washington Headquarters Services
National Geospatial-Intelligence Agency,2,NGA,DoD,Department of Defense>National Geospatial-Intelligence Agency
Missile Defense Agency,2,MDA,DoD,Department of Defense>Missile Defense Agency
Defense Information Systems Agency,2,DISA,DoD,Department of Defense>Defense Information Systems Agency
Defense Contract Management Agency,2,DCMA,DoD,Department of Defense>Defense Contract Management Agency
U.S. Cyber Command,2,USCYBERCOM,DoD,Department of Defense>U.S. Cyber Command
Defense Threat Reduction Agency,2,DTRA,DoD,Department of Defense>Defense Threat Reduction Agency
Defense Counterintelligence and Security Agency,2,DCSA,DoD,Department of Defense>Defense Counterintelligence and Security Agency
National Security Agency,2,NSA,DoD,Department of Defense>National Security Agency
Defense Human Resources Activity,2,DHRA,DoD,Department of Defense>Defense Human Resources Activity
DOD Education Activity,2,DODEA,DoD,Department of Defense>DOD Education Activity
Space Development Agency,2,SDA,DoD,Department of Defense>Space Development Agency
U.S. Strategic Command,2,USSTRATCOM,DoD,Department of Defense>U.S. Strategic Command
Defense Media Activity,2,DMA,DoD,Department of Defense>Defense Media Activity
United States Transportation Command,2,USTRANSCOM,DoD,Department of Defense>United States Transportation Command
Defense Contract Audit Agency,2,DCAA,DoD,Department of Defense>Defense Contract Audit Agency
Defense Commissary Agency,2,DECA,DoD,Department of Defense>Defense Commissary Agency
Office of the Secretary of Defense,2,OSD,DoD,Department of Defense>Office of the Secretary of Defense
Defense Finance and Accounting Service,2,DFAS,DoD,Department of Defense>Defense Finance and Accounting Service
Defense Microelectronics Activity,2,DMEA,DoD,Department of Defense>Defense Microelectronics Activity
Office of the Inspector General,2,DODIG,DoD,Department of Defense>Office of the Inspector General
Defense Security Cooperation Agency,2,DSCA,DoD,Department of Defense>Defense Security Cooperation Agency
Army and Air Force Exchange Service,2,AAFES,DoD,Department of Defense>Army and Air Force Exchange Service
Joint Improvised Explosive Device Defeat Organization,2,JIEDDO,DoD,Department of Defense>Joint Improvised Explosive Device Defeat Organization
National Reconnaissance Office,2,NRO,DoD,Department of Defense>National Reconnaissance Office
Uniformed Services University of the Health Sciences,2,USUHS,DoD,Department of Defense>Uniformed Services University of the Health Sciences
NATO Headquarters Supreme Allied Commander,2,,DoD,Department of Defense>NATO Headquarters Supreme Allied Commander
Business Transformation Agency,2,BTA,DoD,Department of Defense>Business Transformation Agency
Counterintelligence Field Activity,2,CIFA,DoD,Department of Defense>Counterintelligence Field Activity
Defense Technical Information Center,3,DTIC,DoD>OSD,Department of Defense>Office of the Secretary of Defense>Defense Technical Information Center
U.S. Court of Military Appeals,2,,DoD,Department of Defense>U.S. Court of Military Appeals
Office of Federal Student Aid,2,FSA,ED,Department of Education>Office of Federal Student Aid
ED Office of the Inspector General,2,OIG,ED,Department of Education>ED Office of the Inspector General
Office of Elementary and Secondary Education,2,OESE,ED,Department of Education>Office of Elementary and Secondary Education
Institute of Education Sciences,2,IES,ED,Department of Education>Institute of Education Sciences
Office of English Language Acquisition,2,OELA,ED,Department of Education>Office of English Language Acquisition
Office of Legislation and Congressional Affairs,2,OLCA,ED,Department of Education>Office of Legislation and Congressional Affairs
Gallaudet University,2,,ED,Department of Education>Gallaudet University
American Printing House for the Blind,2,APHB,ED,Department of Education>American Printing House for the Blind
ED Office of Communications and Outreach,2,OCO,ED,Department of Education>ED Office of Communications and Outreach
ED Office of the Secretary,2,OS,ED,Department of Education>ED Office of the Secretary
Contracts and Acquisition Management,3,CAM,ED>OFO,Department of Education>ED Office of Finance and Operations>Contracts and Acquisition Management
Office of the Chief Information Officer,2,OCIO,ED,Department of Education>Office of the Chief Information Officer
OESE Office of Innovation and Improvement,3,OII,ED>OESE,Department of Education>Office of Elementary and Secondary Education>OESE Office of Innovation and Improvement
ED Office of the Under Secretary,2,OUS,ED,Department of Education>ED Office of the Under Secretary
Office of Career Technical and Adult Education,2,OCTAE,ED,Department of Education>Office of Career Technical and Adult Education
Howard University,2,,ED,Department of Education>Howard University
ED Office of the Chief Financial Officer,2,OCFO,ED,Department of Education>ED Office of the Chief Financial Officer
National Institute for Literacy,3,NIL,ED>OCTAE,Department of Education>Office of Career Technical and Adult Education>National Institute for Literacy
Office for Civil Rights,2,OCR,ED,Department of Education>Office for Civil Rights
Office of Postsecondary Education,2,OPE,ED,Department of Education>Office of Postsecondary Education
National Assessment Governing Board,2,NAGB,ED,Department of Education>National Assessment Governing Board
ED Office of the General Counsel,2,OGC,ED,Department of Education>ED Office of the General Counsel
Office of Special Education and Rehabilitative Services,2,OSERS,ED,Department of Education>Office of Special Education and Rehabilitative Services
National Technical Institute for the Deaf,3,NTID,ED>OSERS,Department of Education>Office of Special Education and Rehabilitative Services>National Technical Institute for the Deaf
Advisory Committee for Student Financial Assistance,2,ACSFA,ED,Department of Education>Advisory Committee for Student Financial Assistance
ED Office of Management and Planning,3,,ED>OFO,Department of Education>ED Office of Finance and Operations>ED Office of Management and Planning
ED Office of the Deputy Secretary,2,ODS,ED,Department of Education>ED Office of the Deputy Secretary
ED Office of Planning Evaluation and Policy Development,2,OPEPD,ED,Department of Education>ED Office of Planning Evaluation and Policy Development
Western Area Power Administration,3,WAPA,DOE>PMA,Department of Energy>Power Marketing Administration>Western Area Power Administration
DOE Office of the Inspector General,2,OIG,DOE,Department of Energy>DOE Office of the Inspector General
DOE Headquarters,2,HQ,DOE,Department of Energy>DOE Headquarters
National Energy Technology Lab,2,NETL,DOE,Department of Energy>National Energy Technology Lab
DOE Office of Economic Impact and Diversity,2,,DOE,Department of Energy>DOE Office of Economic Impact and Diversity
Federal Energy Regulatory Commission,2,FERC,DOE,Department of Energy>Federal Energy Regulatory Commission
"DOE Office of Environment, Health, Safety & Security",2,EHSS,DOE,"Department of Energy>DOE Office of Environment, Health, Safety & Security"
National Nuclear Security Administration,2,NNSA,DOE,Department of Energy>National Nuclear Security Administration
Office of Nuclear Energy,2,,DOE,Department of Energy>Office of Nuclear Energy
Office of Indian Energy Policy and Programs,2,,DOE,Department of Energy>Office of Indian Energy Policy and Programs
Advanced Research Projects Agency - Energy,2,ARPA-E,DOE,Department of Energy>Advanced Research Projects Agency - Energy
DOE Office of Cyber Security,2,,DOE,Department of Energy>DOE Office of Cyber Security
Energy Information Administration,2,,DOE,Department of Energy>Energy Information Administration
Office of Environmental Management,2,EM,DOE,Department of Energy>Office of Environmental Management
Loan Programs Office,2,LPO,DOE,Department of Energy>Loan Programs Office
Office of Science,2,OS,DOE,Department of Energy>Office of Science
Bonneville Power Administration,3,BPA,DOE>PMA,Department of Energy>Power Marketing Administration>Bonneville Power Administration
Secretary of Energy,2,,DOE,Department of Energy>Secretary of Energy
Office of Energy Efficiency and Renewable Energy,2,EERE,DOE,Department of Energy>Office of Energy Efficiency and Renewable Energy
Chief Information Officer,2,,DOE,Department of Energy>Chief Information Officer
DOE Office of Management,2,,DOE,Department of Energy>DOE Office of Management
DOE Office of the Chief Human Capital Officer,2,,DOE,Department of Energy>DOE Office of the Chief Human Capital Officer
Office of Civilian Radioactive Waste Management (Yucca Mountain),3,OCRWM,DOE>*,Department of Energy>Office of Nuclear Energy>Office of Civilian Radioactive Waste Management (Yucca Mountain)
Office of Electricity,2,,DOE,Department of Energy>Office of Electricity
Office of Enterprise Assessments,2,,DOE,Department of Energy>Office of Enterprise Assessments
DOE Office of International Affairs,2,,DOE,Department of Energy>DOE Office of International Affairs
Office of Fossil Energy and Carbon Management,2,FECM,DOE,Department of Energy>Office of Fossil Energy and Carbon Management
Office of River Protection,2,ORP,DOE,Department of Energy>Office of River Protection
DOE Office of the Deputy Secretary,2,,DOE,Department of Energy>DOE Office of the Deputy Secretary
Southeastern Power Administration,3,SEPA,DOE>PMA,Department of Energy>Power Marketing Administration>Southeastern Power Administration
Office of the Chief Financial Officer,2,CFO,DOE,Department of Energy>Office of the Chief Financial Officer
Office of Hearings and Appeals,2,OHA,DOE,Department of Energy>Office of Hearings and Appeals
Office of Legacy Management,2,LM,DOE,Department of Energy>Office of Legacy Management
Office of Policy,2,,DOE,Department of Energy>Office of Policy
DOE Office of General Counsel,2,GC,DOE,Department of Energy>DOE Office of General Counsel
Centers for Medicare and Medicaid Services,2,CMS,HHS,Department of Health and Human Services>Centers for Medicare and Medicaid Services
Centers for Disease Control and Prevention,2,CDC,HHS,Department of Health and Human Services>Centers for Disease Control and Prevention
National Institutes of Health,2,NIH,HHS,Department of Health and Human Services>National Institutes of Health
Food and Drug Administration,2,FDA,HHS,Department of Health and Human Services>Food and Drug Administration
Indian Health Service,2,IHS,HHS,Department of Health and Human Services>Indian Health Service
Substance Abuse and Mental Health Services Administration,2,SAMHSA,HHS,Department of Health and Human Services>Substance Abuse and Mental Health Services Administration
Office of the National Coordinator for Health Information Technology,2,ONC,HHS,Department of Health and Human Services>Office of the National Coordinator for Health Information Technology
Agency for Healthcare Research and Quality,2,AHRQ,HHS,Department of Health and Human Services>Agency for Healthcare Research and Quality
HHS Office of the Assistant Secretary for Administration,2,ASA,HHS,Department of Health and Human Services>HHS Office of the Assistant Secretary for Administration
HHS Office of the Assistant Secretary for Preparedness and Response,2,ASPR,HHS,Department of Health and Human Services>HHS Office of the Assistant Secretary for Preparedness and Response
Program Support Center,3,PSC,HHS>ASA,Department of Health and Human Services>HHS Office of the Assistant Secretary for Administration>Program Support Center
Administration for Children and Families,2,ACF,HHS,Department of Health and Human Services>Administration for Children and Families
Health Resources and Services Administration,2,HRSA,HHS,Department of Health and Human Services>Health Resources and Services Administration
HHS Office of the Inspector General,2,OIG,HHS,Department of Health and Human Services>HHS Office of the Inspector General
HHS Office of the Assistant Secretary for Health,2,OASH,HHS,Department of Health and Human Services>HHS Office of the Assistant Secretary for Health
Office for Civil Rights,2,OCR,HHS,Department of Health and Human Services>Office for Civil Rights
HHS Immediate Office of the Secretary,2,IOS,HHS,Department of Health and Human Services>HHS Immediate Office of the Secretary
Public Health Service,3,PHS,HHS>OASH,Department of Health and Human Services>HHS Office of the Assistant Secretary for Health>Public Health Service
HHS Office of the Assistant Secretary for Financial Resources,2,ASFR,HHS,Department of Health and Human Services>HHS Office of the Assistant Secretary for Financial Resources
Administration on Aging,3,AOA,HHS>ACL,Department of Health and Human Services>Administration for Community Living>Administration on Aging
HHS Office of Intergovernmental and External Affairs,2,IEA,HHS,Department of Health and Human Services>HHS Office of Intergovernmental and External Affairs
HHS Office of the General Counsel,2,OGC,HHS,Department of Health and Human Services>HHS Office of the General Counsel
HHS Office of the Assistant Secretary for Public Affairs,2,ASPA,HHS,Department of Health and Human Services>HHS Office of the Assistant Secretary for Public Affairs
Office of Medicare Hearings and Appeals,2,OMHA,HHS,Department of Health and Human Services>Office of Medicare Hearings and Appeals
HHS Office of the Assistant Secretary for Planning and Evaluation,2,ASPE,HHS,Department of Health and Human Services>HHS Office of the Assistant Secretary for Planning and Evaluation
Administration for Community Living,2,ACL,HHS,Department of Health and Human Services>Administration for Community Living
Agency for Toxic Substances and Disease Registry,2,ATSDR,HHS,Department of Health and Human Services>Agency for Toxic Substances and Disease Registry
Federal Emergency Management Agency,2,FEMA,DHS,Department of Homeland Security>Federal Emergency Management Agency
Customs and Border Protection,2,CBP,DHS,Department of Homeland Security>Customs and Border Protection
Transportation Security Administration,2,TSA,DHS,Department of Homeland Security>Transportation Security Administration
Coast Guard,2,USCG,DHS,Department of Homeland Security>Coast Guard
